id,rating,genres,countries,runtime,title,poster,original_language,overview,release_year,streaming_services
tt0095327,84.5,"Animation, Drama, War",Japan,89,Grave of the Fireflies,https://image.tmdb.org/t/p/original/qG3RYlIVpTYclR9TYIsy8p7m7AT.jpg,ja,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",1988,iTunes
tt0088846,77.5,"Comedy, Science Fiction","United Kingdom, United States",143,Brazil,https://image.tmdb.org/t/p/original/8Pf3pbzu9pyONdpmdMtMrASr0am.jpg,en,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",1985,"iTunes, Google Play, Amazon Instant Video"
tt1605783,76.0,"Fantasy, Comedy, Romance","Spain, United States",94,Midnight in Paris,https://image.tmdb.org/t/p/original/4wBG5kbfagTQclETblPRRGihk0I.jpg,en,A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better.,2011,"Google Play, Amazon Instant Video, iTunes, Netflix"
tt3315342,79.5,"Action, Drama, Science Fiction",United States,137,Logan,https://image.tmdb.org/t/p/original/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,en,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",2017,"iTunes, Amazon Instant Video, Disney+, Google Play"
tt0058461,78.5,"Western, Action","Germany, Spain, Italy",99,A Fistful of Dollars,https://image.tmdb.org/t/p/original/lBwOEpwVeUAmrmglcstnaGcJq3Y.jpg,it,"The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.",1964,"iTunes, Google Play, Amazon Instant Video"
tt0056869,75.5,"Horror, Mystery",United States,119,The Birds,https://image.tmdb.org/t/p/original/z0iYrJ6GsAMP3abOha7uGMuc5kZ.jpg,en,"Chic socialite Melanie Daniels enjoys a passing flirtation with an eligible attorney in a San Francisco pet shop and, on an impulse, follows him to his hometown bearing a gift of lovebirds. But upon her arrival, the bird population runs amok. Suddenly, the townsfolk face a massive avian onslaught, with the feathered fiends inexplicably attacking people all over Bodega Bay.",1963,"iTunes, Google Play, Amazon Instant Video"
tt0023969,75.5,"Comedy, War, 4",United States,69,Duck Soup,https://image.tmdb.org/t/p/original/31t63plEGKHhYuuCpC9bFWO9SBS.jpg,en,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,1933,"Google Play, iTunes, Amazon Instant Video"
tt0107207,80.0,"Drama, 1, Crime","United Kingdom, Ireland",133,In the Name of the Father,https://image.tmdb.org/t/p/original/3NcIkKxaO2SmRVsG1v50XhtmL0f.jpg,en,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",1993,"Amazon Instant Video, iTunes, Google Play"
tt0091763,79.0,"Drama, War, Action","United States, United Kingdom",120,Platoon,https://image.tmdb.org/t/p/original/m3mmFkPQKvPZq5exmh0bDuXlD9T.jpg,en,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",1986,"Amazon Prime Video, Google Play, iTunes, Amazon Instant Video, Paramount+, Showtime"
tt0118799,85.5,"Comedy, Drama",Italy,116,Life Is Beautiful,https://image.tmdb.org/t/p/original/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg,it,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,1997,"iTunes, Google Play, Amazon Instant Video, Paramount+"
tt0119472,77.5,"Comedy, Crime, Action",Germany,87,Knockin' on Heaven's Door,https://image.tmdb.org/t/p/original/9pTUCXcMDZurDmZRtOrnk9mjSFH.jpg,de,"Two young men, Martin and Rudi, both suffering from terminal cancer, get to know each other in a hospital room. They drown their desperation in tequila and decide to take one last trip to the sea. Drunk and still in pajamas they steal the first fancy car they find, a 60's Mercedes convertible. The car happens to belong to a bunch of gangsters, which immediately start to chase it, since it contains more than the pistol Martin finds in the glove box.",1997,
tt0022913,78.0,"Drama, Horror",United States,62,Freaks,https://image.tmdb.org/t/p/original/idK9v05lDtXm67bylUhQyvVlZM6.jpg,en,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",1932,"Google Play, iTunes, Amazon Instant Video"
tt0118849,80.5,"Drama, Family, 5","Iran, Islamic Republic of",89,Children of Heaven,https://image.tmdb.org/t/p/original/jWqh1CJWAEcxckMRrf6ARhIEh0R.jpg,fa,"Zohre's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zohre until they come up with an idea: they will share one pair of shoes, Ali's. School awaits.",1997,"Amazon Instant Video, Google Play, iTunes"
tt10370710,76.5,"Drama, Comedy, Romance","Denmark, France, Norway, Sweden",128,The Worst Person in the World,https://image.tmdb.org/t/p/original/p5nLFV9aa76zhFK91Qi0xRlXvQ1.jpg,no,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",2021,"Amazon Instant Video, Google Play, iTunes, Hulu, Netflix"
tt0180093,81.5,"Crime, Drama",United States,102,Requiem for a Dream,https://image.tmdb.org/t/p/original/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg,en,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.,2000,"Google Play, Amazon Instant Video, iTunes"
tt0808417,79.5,"Animation, Drama, 1","France, United States",95,Persepolis,https://image.tmdb.org/t/p/original/aU8i2QAdTyRR1nYb36Gq51xXP8p.jpg,fr,"In 1970s Iran, Marjane 'Marji' Statrapi watches events through her young eyes and her idealistic family of a long dream being fulfilled of the hated Shah's defeat in the Iranian Revolution of 1979. However as Marji grows up, she witnesses first hand how the new Iran, now ruled by Islamic fundamentalists, has become a repressive tyranny on its own.",2007,"Amazon Instant Video, Google Play, iTunes"
tt3322420,77.5,"Comedy, Drama, Adventure",India,146,Queen,https://image.tmdb.org/t/p/original/vKLp0X2RQOuA31R3AdaYtDdKIPK.jpg,hi,"Rani, a 24-year-old homely girl, decides to go on her honeymoon alone when her fiancé calls off the wedding. Traveling around Europe, she finds joy, makes friends, and gains new-found independence.",2014,"Google Play, Amazon Instant Video, iTunes, Netflix"
tt1408101,75.0,"Action, Adventure, Science Fiction",United States,132,Star Trek Into Darkness,https://image.tmdb.org/t/p/original/7XrRkhMa9lQ71RszzSyVrJVvhyS.jpg,en,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",2013,"Google Play, Amazon Prime Video, Amazon Instant Video, iTunes, Paramount+"
tt0190590,75.0,"Adventure, Comedy, Crime","United States, United Kingdom",107,"O Brother, Where Art Thou?",https://image.tmdb.org/t/p/original/s9foMAcLg8GEzzQzer04qOGdD1k.jpg,en,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",2000,"iTunes, Google Play, Amazon Instant Video, Hulu, Netflix"
tt15097216,82.0,"Crime, Drama, Mystery",India,164,Jai Bhim,https://image.tmdb.org/t/p/original/mPMQl3voLNlZQt3STGV5KAcLN4h.jpg,ta,"A pregnant woman from a primitive tribal community, searches desperately for her husband, who is missing from police custody. So as to find her husband and seek justice for them, as their voice, a High Court advocate rises in support. Will their battle for justice succeed?",2021,Amazon Prime Video
tt1853728,82.5,"Drama, Western",United States,165,Django Unchained,https://image.tmdb.org/t/p/original/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,en,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",2012,"iTunes, Google Play, Amazon Instant Video"
tt0265086,75.0,"Action, History, War","United Kingdom, United States",145,Black Hawk Down,https://image.tmdb.org/t/p/original/7fU5dSqKRL4XHeEUz62rCKBfYok.jpg,en,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",2001,"iTunes, Google Play, Amazon Instant Video, HBO Max"
tt0053779,80.5,"Comedy, Drama","France, Italy",176,La Dolce Vita,https://image.tmdb.org/t/p/original/xgqVtaGbITWeIYR3mkYo39bRd36.jpg,it,"Journalist and man-about-town Marcello struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer.",1960,
tt0018455,79.5,"Drama, Romance",United States,94,Sunrise: A Song of Two Humans,https://image.tmdb.org/t/p/original/oj8ZW8jKXBSs8F1e5iWsTUeXSJW.jpg,en,"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.",1927,"Google Play, iTunes, Amazon Instant Video"
tt0468569,87.5,"Drama, Action, Crime, Thriller","United Kingdom, United States",152,The Dark Knight,https://image.tmdb.org/t/p/original/qJ2tW6WMUDux911r6m7haRef0WH.jpg,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008,"Google Play, iTunes, Amazon Instant Video, Netflix, HBO Max"
tt1093370,76.0,"Drama, Comedy, Romance",India,138,Jab We Met,https://image.tmdb.org/t/p/original/reEzvhfp85DTapHSPRzBULCXUuz.jpg,hi,A depressed wealthy businessman and a spunky and care-free young woman embark on an unexpected journey that changes their lives.,2007,"Netflix, Google Play"
tt0044706,78.0,"Western, Thriller",United States,85,High Noon,https://image.tmdb.org/t/p/original/bc1x6kIO9oF30y3IMFuKMJV2uOj.jpg,en,"Will Kane, the sheriff of a small town in New Mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. Knowing the outlaw and his gang are coming to kill him, Kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople.",1952,"iTunes, Google Play, Amazon Instant Video"
tt0790636,79.0,"Drama, History, 1",United States,117,Dallas Buyers Club,https://image.tmdb.org/t/p/original/7Fdh7gUq3plvQqxRbNYhWvDABXA.jpg,en,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",2013,"Amazon Instant Video, Google Play, iTunes, Paramount+, Showtime"
tt0037382,76.0,"Adventure, Romance, War, 2",United States,100,To Have and Have Not,https://image.tmdb.org/t/p/original/jLOmQ6yHWSKZDrJ2CMuSrXE3t3J.jpg,en,A Martinique charter boat skipper gets mixed up with the underground French resistance operatives during WWII.,1945,"Amazon Instant Video, Google Play, iTunes, HBO Max"
tt7838252,78.5,"Action, Crime, Drama",India,156,K.G.F: Chapter 1,https://image.tmdb.org/t/p/original/ltHlJwvxKv7d0ooCiKSAvfwV9tX.jpg,kn,"A period drama set in the 1970s, KGF follows the story of a fierce rebel who rises against the brutal oppression in Kolar Gold Fields and becomes the symbol of hope to legions of downtrodden people.",2018,Amazon Prime Video
tt1235166,76.5,"Crime, Drama","France, Italy",155,A Prophet,https://image.tmdb.org/t/p/original/x9Jb8kewBHPzjTtgCQvoQoDsy4d.jpg,fr,"Sentenced to six years in prison, Malik El Djebena is alone in the world and can neither read nor write. On his arrival at the prison, he seems younger and more brittle than the others detained there. At once he falls under the sway of a group of Corsicans who enforce their rule in the prison. As the 'missions' go by, he toughens himself and wins the confidence of the Corsican group.",2009,"Google Play, Amazon Instant Video, iTunes"
tt11032374,82.5,"Animation, Action, Adventure, Fantasy",Japan,117,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,https://image.tmdb.org/t/p/original/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,ja,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",2020,"Amazon Instant Video, Google Play, iTunes"
tt7979580,77.5,"Animation, Adventure, Comedy",United States,110,The Mitchells vs. the Machines,https://image.tmdb.org/t/p/original/mI2Di7HmskQQ34kz0iau6J1vr70.jpg,en,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",2021,"iTunes, Google Play, Amazon Instant Video, Netflix"
tt0039689,78.0,"Crime, Drama, Romance, Thriller, 2",United States,97,Out of the Past,https://image.tmdb.org/t/p/original/lnUK6Cg5ARM0qaq0B5SG20VAM0h.jpg,en,"Jeff Bailey seems to be a mundane gas station owner in remote Bridgeport, CA. He is dating local girl Ann Miller and lives a quiet life. But Jeff has a secret past, and when a mysterious stranger arrives in town, Jeff is forced to return to the dark world he had tried to escape.",1947,"Amazon Instant Video, Google Play, iTunes, HBO Max"
tt0092067,79.5,"Adventure, Fantasy, Animation, Action, Family, Romance",Japan,125,Castle in the Sky,https://image.tmdb.org/t/p/original/npOnzAbLh6VOIu3naU5QaEcTepo.jpg,ja,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,1986,"Amazon Instant Video, Google Play, iTunes, Netflix, HBO Max"
tt0088939,77.0,Drama,United States,154,The Color Purple,https://image.tmdb.org/t/p/original/ziosRyziefrmEmAMIswpjQzvAur.jpg,en,"An epic tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry. After Celie's abusive father marries her off to the equally debasing 'Mister' Albert Johnson, things go from bad to worse, leaving Celie to find companionship anywhere she can. She perseveres, holding on to her dream of one day being reunited with her sister in Africa.",1985,"nan, HBO Max"
tt0061809,77.0,"Crime, Drama, History, 1",United States,134,In Cold Blood,https://image.tmdb.org/t/p/original/fGb7FcT1qhXMJYMLVTEjCrA0t9s.jpg,en,"After a botched robbery results in the brutal murder of a rural family, two drifters elude police, in the end coming to terms with their own mortality and the repercussions of their vile atrocity.",1967,"Amazon Instant Video, iTunes, Google Play"
tt0032138,78.0,"Adventure, Fantasy, Family",United States,102,The Wizard of Oz,https://image.tmdb.org/t/p/original/bSA6DbAC5gdkaooU164lQUX6rVs.jpg,en,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",1939,"Google Play, Amazon Instant Video, iTunes, HBO Max"
tt8291224,76.0,"Action, Drama, War, History",India,138,Uri: The Surgical Strike,https://image.tmdb.org/t/p/original/yNySAgpAnWmPpYinim9E0tUzJWG.jpg,hi,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",2019,"nan, ZEE5"
tt0094625,79.5,"Animation, Science Fiction, Action",Japan,124,Akira,https://image.tmdb.org/t/p/original/neZ0ykEsPqxamsX6o5QNUFILQrz.jpg,ja,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,1988,
tt0425210,75.5,"Drama, Thriller, Crime, Mystery","Canada, Germany, United Kingdom, United States",110,Lucky Number Slevin,https://image.tmdb.org/t/p/original/x21s3p5wPww534nYj1cWakTcqz4.jpg,en,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma.",2006,"Amazon Instant Video, Google Play, iTunes, Amazon Prime Video"
tt0389557,75.5,"Drama, Thriller, War","Germany, Belgium, United Kingdom, Netherlands",145,Black Book,https://image.tmdb.org/t/p/original/fKBeM6vjMD79G3wAXSpw3pBHsit.jpg,nl,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",2006,"Amazon Instant Video, Google Play, iTunes"
tt0045793,74.5,"War, Romance, Drama",United States,118,From Here to Eternity,https://image.tmdb.org/t/p/original/mJFzGDs8OMyXotbunp800D9SID0.jpg,en,"In 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second in command are falling in love.",1953,"iTunes, Google Play, Amazon Instant Video"
tt0125659,75.5,"Drama, Thriller, Science Fiction, Mystery","Spain, France, Italy",117,Open Your Eyes,https://image.tmdb.org/t/p/original/orjSy9xEGI9jxrtodACH04gANmF.jpg,es,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",1997,"Amazon Instant Video, Google Play, iTunes"
tt1856101,77.5,"Science Fiction, Drama, Action, Mystery","Canada, Hungary, Mexico, Spain, United Kingdom, United States",164,Blade Runner 2049,https://image.tmdb.org/t/p/original/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,en,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",2017,"Netflix, Google Play, Amazon Instant Video, iTunes, HBO Max"
tt1877830,78.0,"Crime, Mystery, Thriller, Action",United States,177,The Batman,https://image.tmdb.org/t/p/original/74xTEgt7R36Fpooo50r9T25onhq.jpg,en,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",2022,"Amazon Instant Video, Google Play, iTunes, HBO Max"
tt4846340,79.0,"Drama, History, 1",United States,127,Hidden Figures,https://image.tmdb.org/t/p/original/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg,en,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",2016,"iTunes, Google Play, Amazon Instant Video, Disney+"
tt0096874,77.5,"Adventure, Comedy, Science Fiction",United States,108,Back to the Future Part II,https://image.tmdb.org/t/p/original/hQq8xZe5uLjFzSBt4LanNP7SQjl.jpg,en,"Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",1989,"iTunes, Google Play, Amazon Instant Video, Peacock"
tt10698680,80.5,"Action, Crime, Drama",India,168,K.G.F: Chapter 2,https://image.tmdb.org/t/p/original/khNVygolU0TxLIDWff5tQlAhZ23.jpg,kn,"The blood-soaked land of Kolar Gold Fields (KGF) has a new overlord now - Rocky, whose name strikes fear in the heart of his foes. His allies look up to Rocky as their Savior, the government sees him as a threat to law and order; enemies are clamoring for revenge and conspiring for his downfall. Bloodier battles and darker days await as Rocky continues on his quest for unchallenged supremacy.",2022,Amazon Prime Video
tt0248845,76.0,"Comedy, Music, Drama","Canada, United States",95,Hedwig and the Angry Inch,https://image.tmdb.org/t/p/original/jafIFAW8sHQkzWPGoMDR4892dFI.jpg,en,"Raised a boy in East Berlin, Hedwig undergoes a personal transformation in order to emigrate to the U.S., where she reinvents herself as an “internationally ignored” but divinely talented rock diva, inhabiting a “beautiful gender of one.”",2001,"Amazon Instant Video, Google Play, iTunes"
tt0104684,76.5,"Action, Thriller, Crime",Hong Kong,126,Hard Boiled,https://image.tmdb.org/t/p/original/wuljacjo7DCzUzDianeZZwPb6to.jpg,cn,A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In order to get closer to the leaders of the ring he joins forces with an undercover cop who's working as a gangster hitman. They use all means of excessive force to find them.,1992,
tt4468740,76.0,"Adventure, Comedy, Family","France, United Kingdom, United States",104,Paddington 2,https://image.tmdb.org/t/p/original/1OJ9vkD5xPt3skC6KguyXAgagRZ.jpg,en,"Paddington, now happily settled with the Browns, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy, but it is stolen.",2017,"Amazon Instant Video, Google Play, iTunes, HBO Max"
tt0117381,76.5,"Crime, Drama, Mystery, Thriller",United States,129,Primal Fear,https://image.tmdb.org/t/p/original/qJf2TzE8nRTFbFMPJNW6c8mI0KU.jpg,en,"An arrogant, high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. The case gets a lot more complex when the accused reveals that there may or may not have been a third person in the room.",1996,"Amazon Instant Video, Amazon Prime Video, iTunes, Google Play, Paramount+"
tt2265171,77.5,"Action, Crime, Thriller","Indonesia, United States",150,The Raid 2,https://image.tmdb.org/t/p/original/olA39iaXISiKEkACdELgr0ZRvIF.jpg,id,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",2014,"iTunes, Google Play, Amazon Instant Video"
tt0056687,79.5,"Drama, Horror, Thriller",United States,135,What Ever Happened to Baby Jane?,https://image.tmdb.org/t/p/original/msGYzyWwtjAaA3DScdgmvJ5MReG.jpg,en,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,1962,"Amazon Instant Video, Google Play, iTunes, HBO Max"
tt0120363,77.0,"Animation, Comedy, Family, Adventure",United States,92,Toy Story 2,https://image.tmdb.org/t/p/original/eVGu0zsezaSCuN67zgNhzjeNI9Z.jpg,en,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",1999,"Disney+, Amazon Instant Video, Google Play, iTunes"
tt0062622,81.5,"Science Fiction, Mystery, Adventure","United Kingdom, United States",149,2001: A Space Odyssey,https://image.tmdb.org/t/p/original/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",1968,"Amazon Instant Video, iTunes, Google Play, HBO Max"
tt0099685,85.5,"Drama, Crime, 1",United States,145,GoodFellas,https://image.tmdb.org/t/p/original/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,en,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990,"Amazon Instant Video, Google Play, iTunes, Netflix, HBO Max"
tt0358273,76.0,"Drama, Music, Romance, 1","Germany, United States",136,Walk the Line,https://image.tmdb.org/t/p/original/iIXy2T3fIxfKCBCJqkAnVBFPO8o.jpg,en,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",2005,"iTunes, Google Play, Amazon Instant Video, Starz"
